grup;codi;descr;w1;h1;w2;h2;uts;unit;preu;peces
# Cotas/piezas de la obra ASSECADOR. 'peces' = piezas FISICAS reales para el despiece (x1/x2 de Joan).
# 'uts' se queda como esta (es lo que factura VEGRA en el presupuesto). 'peces' solo afecta al despiece.
# Los conos de la aportacio van a 2 porque son las dos lineas paralelas L1+L2. Revisar con Joan.
1.1 INTERIOR - A APORTACIO;red;Conducte 350x1150 - 350x1080;350;1150;350;1080;3;m;;2
1.1 INTERIOR - A APORTACIO;red;Conducte 350x1080 - 350x995;350;1080;350;995;3;m;;2
1.1 INTERIOR - A APORTACIO;red;Conducte 350x995 - 350x920;350;995;350;920;3;m;;2
1.1 INTERIOR - A APORTACIO;red;Conducte 350x920 - 350x840;350;920;350;840;3;m;;2
1.1 INTERIOR - A APORTACIO;red;Conducte 350x840 - 350x765;350;840;350;765;3;m;;2
1.1 INTERIOR - A APORTACIO;red;Conducte 350x765 - 350x725;350;765;350;725;3;m;;2
1.1 INTERIOR - A APORTACIO;des;Desviament 350x765 - 300x765;350;765;300;765;2;ut;
1.1 INTERIOR - A APORTACIO;des;Desviament 350x695 - 300x695;350;695;300;695;2;ut;
1.1 INTERIOR - A APORTACIO;red;Conducte 350x695 - 350x620;350;695;350;620;3;m;;2
1.1 INTERIOR - A APORTACIO;red;Conducte 350x620 - 350x540;350;620;350;540;3;m;;2
1.1 INTERIOR - A APORTACIO;red;Conducte 350x540 - 350x465;350;540;350;465;3;m;;2
1.1 INTERIOR - A APORTACIO;red;Conducte 350x465 - 350x385;350;465;350;385;3;m;;2
1.1 INTERIOR - A APORTACIO;red;Conducte 350x385 - 350x350;350;385;350;350;1.4;m;;2
1.1 INTERIOR - A APORTACIO;tapa;Tapa 350x350;350;350;350;350;2;ut;
1.1 INTERIOR - A APORTACIO;esp;Suportacions i cargoleria especifica;0;0;0;0;1;ut;171.56
1.1 INTERIOR - B EXTRACCIO;rec;Conducte 800x150;800;150;800;150;90.84;m;
1.1 INTERIOR - B EXTRACCIO;tapa;Tapa 800x150;800;150;800;150;6;ut;
1.1 INTERIOR - B EXTRACCIO;c90;Curva 90 - 700x500;700;500;700;500;2;ut;
1.1 INTERIOR - B EXTRACCIO;rec;Conducte 700x500;700;500;700;500;4.5;m;
1.1 INTERIOR - B EXTRACCIO;esp;Connexio especial 2400x4500 - 700x500 - 700x500;0;0;0;0;1;ut;308.49
1.1 INTERIOR - B EXTRACCIO;esp;Pantalo 2400x500 - 500x500 - 500x500;0;0;0;0;1;ut;185.09
1.1 INTERIOR - B EXTRACCIO;rec;Conducte 500x500;500;500;500;500;4.5;m;
1.1 INTERIOR - B EXTRACCIO;inj;Injert 90 - 800x150;800;150;800;150;6;ut;
1.1 INTERIOR - B EXTRACCIO;tapa;Tapa 500x500;500;500;500;500;2;ut;
1.1 INTERIOR - B EXTRACCIO;esp;Suportacions i cargoleria especifica;0;0;0;0;1;ut;487.40
1.2 EXTERIOR - A APORTACIO;esp;Pantalo 2230x600 - 700x600 - 700x600;0;0;0;0;1;ut;206.15
1.2 EXTERIOR - A APORTACIO;inj;Injert 700x500;700;500;700;500;3;ut;
1.2 EXTERIOR - A APORTACIO;c45;Curva 45 - 700x600;700;600;700;600;4;ut;
1.2 EXTERIOR - A APORTACIO;rec;Conducte 700x600;700;600;700;600;3;m;
1.2 EXTERIOR - A APORTACIO;esp;Canvi sentit 700x600 - 400x1150;0;0;0;0;2;ut;69.15
1.2 EXTERIOR - A APORTACIO;c90;Curva 90 - 1150x400 - 1150x350;1150;400;1150;350;2;ut;
1.2 EXTERIOR - A APORTACIO;c45;Curva 45 - 700x500;700;500;700;500;2;ut;
1.2 EXTERIOR - A APORTACIO;c90;Curva 90 - 700x500;700;500;700;500;6;ut;
1.2 EXTERIOR - A APORTACIO;rec;Conducte 700x500;700;500;700;500;4.5;m;
1.2 EXTERIOR - A APORTACIO;tmalla;Tapa malla 700x500;700;500;700;500;3;ut;
1.2 EXTERIOR - A APORTACIO;esp;Aillament espuma elastomerica 20mm;0;0;0;0;1;ut;2003.37
1.2 EXTERIOR - A APORTACIO;esp;Suportacions i cargoleria especifica;0;0;0;0;1;ut;149.90
1.2 EXTERIOR - B EXTRACCIO;esp;Plenum especial 2450x400 - 700x400 - 700x400;0;0;0;0;1;ut;303.17
1.2 EXTERIOR - B EXTRACCIO;rec;Conducte 700x400;700;400;700;400;1.5;m;
1.2 EXTERIOR - B EXTRACCIO;esp;Suportacions i cargoleria especifica;0;0;0;0;1;ut;7.02
TREBALLS;treb;Conductes i accessoris rectangulars SIMPLES;;;;;;;6795.48
TREBALLS;treb;Conductes i accessoris rectangulars AILLATS;;;;;;;1843.45
TREBALLS;treb;Cons APORTACIO;;;;;;;1128.00
TREBALLS;treb;Reixes EXTRACCIO;;;;;;;2400.00
